FLTID,DEPSTN,ARRSTN,typical_hour,n_flights
TU 0716 ,TUN,ORY,6,1008
TU 0717 ,ORY,TUN,10,1005
TU 0712 ,CMN,TUN,10,999
TU 0711 ,TUN,CMN,7,999
TU 0722 ,TUN,ORY,14,994
TU 0723 ,ORY,TUN,17,991
TU 0375 ,ALG,TUN,16,988
TU 0374 ,TUN,ALG,13,988
TU 0725 ,ORY,TUN,6,974
TU 0216 ,TUN,IST,16,974
TU 0217 ,IST,TUN,19,971
TU 0724 ,TUN,ORY,18,964
TU 0756 ,TUN,MXP,8,956
TU 0757 ,MXP,TUN,11,953
TU 0752 ,TUN,FCO,8,946
TU 0744 ,TUN,FRA,7,944
TU 0753 ,FCO,TUN,10,943
TU 0745 ,FRA,TUN,10,941
TU 0930 ,TUN,MRS,6,940
TU 0931 ,MRS,TUN,8,937
UG 0003 ,DJE,TUN,7,928
TU 0996 ,TUN,NCE,7,926
UG 0008 ,TUN,DJE,14,925
UG 0009 ,DJE,TUN,16,924
TU 0997 ,NCE,TUN,10,924
TU 0903 ,MRS,TUN,13,882
TU 0902 ,TUN,MRS,11,881
UG 0002 ,TUN,DJE,6,874
TU 0788 ,TUN,BRU,7,851
TU 0789 ,BRU,TUN,11,848
TU 0634 ,DJE,ORY,6,845
TU 0635 ,ORY,DJE,9,840
UG 0011 ,DJE,TUN,19,840
TU 0700 ,TUN,GVA,13,826
TU 0282 ,TUN,TLS,13,808
TU 0283 ,TLS,TUN,16,803
TU 0718 ,TUN,ORY,9,800
TU 0719 ,ORY,TUN,12,797
TU 0701 ,GVA,TUN,16,790
UG 0010 ,TUN,DJE,17,775
TU 0720 ,TUN,ORY,12,760
TU 0721 ,ORY,TUN,15,760
TU 0514 ,TUN,BCN,8,700
TU 0515 ,BCN,TUN,10,691
TU 0751 ,LYS,TUN,10,641
TU 0750 ,TUN,LYS,8,640
TU 0713 ,TUN,JED,18,622
TU 0714 ,JED,TUN,0,620
TU 0440 ,MIR,ORY,11,590
TU 0441 ,ORY,MIR,15,589
TU 0790 ,TUN,LHR,12,574
TU 0791 ,LHR,TUN,16,573
TU 0339 ,ALG,TUN,10,561
TU 0338 ,TUN,ALG,8,561
TU 0250 ,MIR,NCE,12,556
TU 0251 ,NCE,MIR,14,556
TU 0606 ,TUN,MAD,14,553
TU 0851 ,LYS,TUN,16,545
TU 0850 ,TUN,LYS,14,545
TU 0813 ,TUN,CAI,7,545
TU 0814 ,CAI,TUN,10,544
TU 0607 ,MAD,TUN,17,528
TU 0856 ,TUN,MXP,14,509
TU 0857 ,MXP,TUN,16,507
TU 0999 ,NCE,TUN,16,481
TU 0998 ,TUN,NCE,14,480
TU 0708 ,TUN,ORN,12,464
TU 0709 ,ORN,TUN,15,458
TU 0214 ,TUN,IST,6,455
TU 0215 ,IST,TUN,9,454
TU 0913 ,TUN,MED,19,437
TU 0463 ,LYS,MIR,8,437
TU 0914 ,MED,TUN,0,435
TU 0527 ,DUS,TUN,10,435
TU 0526 ,TUN,DUS,6,435
TU 0462 ,MIR,LYS,6,431
TU 0362 ,TUN,BLQ,8,424
TU 0473 ,VCE,TUN,10,423
TU 0472 ,TUN,VCE,7,422
TU 0734 ,DJE,ORY,13,421
TU 0542 ,TUN,MUC,6,421
TU 0363 ,BLQ,TUN,11,421
TU 0642 ,TUN,VIE,13,421
TU 0543 ,MUC,TUN,16,420
TU 0735 ,ORY,DJE,17,419
TU 0847 ,TUN,BEY,7,409
TU 0848 ,BEY,TUN,11,408
TU 0791 ,LGW,TUN,10,383
TU 0790 ,TUN,LGW,6,383
TU 0928 ,TUN,MRS,16,361
TU 0643 ,VIE,TUN,16,361
TU 0929 ,MRS,TUN,18,361
TU 0247 ,SXB,TUN,16,353
TU 0246 ,TUN,SXB,13,352
TU 0705 ,TUN,CMN,16,345
TU 0706 ,CMN,TUN,19,345
TU 0628 ,TUN,BOD,7,343
TU 0629 ,BOD,TUN,10,341
TU 0589 ,LYS,DJE,15,334
UG 1300 ,TUN,MLA,9,332
TU 0588 ,DJE,LYS,13,330
UG 1301 ,MLA,TUN,11,330
TU 0852 ,TUN,FCO,12,311
TU 0853 ,FCO,TUN,15,310
UG 0030 ,TUN,TOE,17,289
UG 0031 ,TOE,TUN,19,289
TU 0563 ,TUN,NKC,18,288
TU 0564 ,NKC,TUN,0,288
TU 0694 ,DJE,MRS,6,286
TU 0695 ,MRS,DJE,15,281
TU 0397 ,TUN,OUA,15,278
TU 0208 ,TUN,NTE,7,278
TU 0209 ,NTE,TUN,10,277
TU 0397 ,OUA,ABJ,20,275
TU 0881 ,AMS,TUN,9,271
TU 0880 ,TUN,AMS,13,271
TU 0318 ,TUN,LIS,14,256
UG 1730 ,TUN,NAP,9,247
UG 1731 ,NAP,TUN,12,245
TU 0613 ,BKO,TUN,0,244
TU 0203 ,YUL,TUN,20,242
TU 0202 ,TUN,YUL,9,242
TU 0319 ,LIS,TUN,18,238
TU 0681 ,MRS,MIR,19,237
TU 0680 ,MIR,MRS,17,236
TU 0227 ,BEG,TUN,9,208
TU 0602 ,TUN,ZRH,6,207
TU 0226 ,TUN,BEG,6,207
TU 0603 ,ZRH,TUN,9,206
TU 0397 ,ABJ,TUN,22,197
TU 0554 ,DJE,SXB,6,189
TU 0613 ,TUN,DKR,16,187
TU 0555 ,SXB,DJE,10,186
TU 0610 ,TUN,CZL,12,183
TU 0611 ,CZL,TUN,14,183
TU 0874 ,DJE,GVA,6,170
TU 0875 ,GVA,DJE,9,168
TU 0399 ,TUN,NIM,15,167
TU 0481 ,NTE,DJE,8,163
TU 0480 ,DJE,NTE,5,163
TU 0399 ,TUN,ABJ,16,163
TU 0682 ,DJE,NCE,6,162
TU 0683 ,NCE,DJE,8,161
TU 0397 ,TUN,ABJ,16,159
TU 0399 ,ABJ,NIM,22,159
TU 0613 ,TUN,BKO,14,158
TU 0397 ,ABJ,OUA,22,152
TU 0399 ,NIM,TUN,1,145
UG 0020 ,TUN,SFA,6,136
UG 0021 ,SFA,TUN,15,131
TU 0613 ,TUN,DSS,16,128
TU 0613 ,DSS,BKO,22,127
TU 0538 ,DJE,DUS,6,124
TU 0539 ,DUS,DJE,10,123
UG 1310 ,TUN,CDG,6,122
TU 0649 ,FRA,DJE,17,122
