airport,month,band,prob,label,wx_wind_gust,wx_precip,wx_snow,wx_adverse
ALG,1,calm,0.8226,Clear,17.6,0.0,0.0,0
ALG,1,rough,0.1716,Strong wind,58.3,0.0,0.0,1
ALG,1,severe,0.0058,Gale-force wind,66.6,0.0,0.0,1
ALG,2,calm,0.7299,Overcast,19.4,0.0,0.0,0
ALG,2,rough,0.2235,Strong wind,52.2,0.0,0.0,1
ALG,2,severe,0.0466,Gale-force wind,74.9,0.0,0.0,1
ALG,3,calm,0.7711,Drizzle,7.2,0.3,0.0,0
ALG,3,rough,0.2128,Strong wind,54.4,0.0,0.0,1
ALG,3,severe,0.0161,Drizzle + strong wind,67.7,0.3,0.0,1
ALG,4,calm,0.8495,Partly cloudy,18.4,0.0,0.0,0
ALG,4,rough,0.144,Drizzle,25.2,0.7,0.0,1
ALG,4,severe,0.0065,Gale-force wind,74.2,0.0,0.0,1
ALG,5,calm,0.8911,Partly cloudy,19.1,0.0,0.0,0
ALG,5,rough,0.1057,Strong wind,46.8,0.0,0.0,1
ALG,5,severe,0.0031,Gale-force wind,62.6,0.0,0.0,1
ALG,6,calm,0.9292,Partly cloudy,18.4,0.0,0.0,0
ALG,6,rough,0.0708,Strong wind,45.0,0.0,0.0,1
ALG,7,calm,0.9328,Clear,19.8,0.0,0.0,0
ALG,7,rough,0.0672,Strong wind,43.2,0.0,0.0,1
ALG,8,calm,0.9297,Partly cloudy,17.6,0.0,0.0,0
ALG,8,rough,0.0703,Strong wind,43.2,0.0,0.0,1
ALG,9,calm,0.9458,Clear,16.9,0.0,0.0,0
ALG,9,rough,0.0542,Strong wind,43.9,0.0,0.0,1
ALG,10,calm,0.9216,Clear,17.3,0.0,0.0,0
ALG,10,rough,0.0762,Strong wind,49.7,0.0,0.0,1
ALG,10,severe,0.0022,Gale-force wind,79.6,0.0,0.0,1
ALG,11,calm,0.8296,Clear,18.0,0.0,0.0,0
ALG,11,rough,0.1556,Drizzle,24.1,0.8,0.0,1
ALG,11,severe,0.0148,Gale-force wind,67.0,0.0,0.0,1
ALG,12,calm,0.8705,Partly cloudy,14.8,0.0,0.0,0
ALG,12,rough,0.125,Drizzle + strong wind,53.3,0.1,0.0,1
ALG,12,severe,0.0045,Light rain + strong wind,78.5,2.0,0.0,1
BRU,1,calm,0.6564,Overcast,23.4,0.0,0.0,0
BRU,1,rough,0.2979,Drizzle + strong wind,49.0,0.1,0.0,1
BRU,1,severe,0.0457,Gale-force wind,87.1,0.0,0.0,1
BRU,2,calm,0.6721,Partly cloudy,25.2,0.0,0.0,0
BRU,2,rough,0.2897,Strong wind,52.6,0.0,0.0,1
BRU,2,severe,0.0382,Gale-force wind,80.3,0.0,0.0,1
BRU,3,calm,0.6935,Overcast,25.2,0.0,0.0,0
BRU,3,rough,0.2814,Strong wind,51.5,0.0,0.0,1
BRU,3,severe,0.0251,Gale-force wind,71.6,0.0,0.0,1
BRU,4,calm,0.8148,Overcast,23.4,0.0,0.0,0
BRU,4,rough,0.1819,Strong wind,50.0,0.0,0.0,1
BRU,4,severe,0.0032,Drizzle + strong wind,74.5,0.1,0.0,1
BRU,5,calm,0.8925,Clear,23.0,0.0,0.0,0
BRU,5,rough,0.1071,Strong wind,48.6,0.0,0.0,1
BRU,5,severe,0.0004,Rain,23.0,5.9,0.0,1
BRU,6,calm,0.8435,Drizzle,19.4,0.1,0.0,0
BRU,6,rough,0.1454,Strong wind,49.3,0.0,0.0,1
BRU,6,severe,0.0111,Drizzle + strong wind,69.1,0.1,0.0,1
BRU,7,calm,0.8737,Partly cloudy,22.7,0.0,0.0,0
BRU,7,rough,0.1237,Strong wind,50.0,0.0,0.0,1
BRU,7,severe,0.0027,Drizzle + strong wind,66.6,0.2,0.0,1
BRU,8,calm,0.8638,Partly cloudy,21.2,0.0,0.0,0
BRU,8,rough,0.1335,Drizzle + strong wind,48.2,0.1,0.0,1
BRU,8,severe,0.0027,Drizzle + strong wind,63.4,0.1,0.0,1
BRU,9,calm,0.8468,Overcast,19.4,0.0,0.0,0
BRU,9,rough,0.1384,Strong wind,49.7,0.0,0.0,1
BRU,9,severe,0.0148,Gale-force wind,78.1,0.0,0.0,1
BRU,10,calm,0.8123,Partly cloudy,23.4,0.0,0.0,0
BRU,10,rough,0.185,Strong wind,47.2,0.0,0.0,1
