airport,date,hour,temperature_2m,precipitation,snowfall,wind_speed_10m,wind_gusts_10m,cloud_cover
TUN,2016-01-16,4,10.7,0.1,0.0,25.3,41.8,100
TUN,2016-01-17,14,11.0,0.3,0.0,28.1,57.6,33
TUN,2016-01-18,7,9.7,0.0,0.0,13.4,23.4,49
TUN,2016-01-20,18,12.2,0.0,0.0,6.4,10.1,61
TUN,2016-01-20,19,11.0,0.0,0.0,7.2,11.5,14
TUN,2016-01-22,7,9.6,0.0,0.0,7.3,14.4,29
TUN,2016-01-22,19,12.4,0.0,0.0,8.7,16.2,27
TUN,2016-01-23,8,10.2,0.0,0.0,10.9,20.9,40
TUN,2016-02-01,19,15.1,0.0,0.0,18.8,34.6,30
TUN,2016-02-02,6,12.8,0.0,0.0,11.3,18.0,22
TUN,2016-02-02,8,12.8,0.0,0.0,11.2,18.7,9
TUN,2016-02-02,18,15.2,0.0,0.0,7.6,10.4,0
TUN,2016-02-04,8,12.0,0.0,0.0,28.5,50.0,52
TUN,2016-02-04,12,13.6,0.0,0.0,35.1,62.3,30
TUN,2016-02-05,6,12.2,0.0,0.0,22.8,41.4,79
TUN,2016-02-05,9,13.2,0.0,0.0,19.7,38.2,69
TUN,2016-02-05,14,15.1,0.0,0.0,21.5,44.6,92
TUN,2016-02-05,18,14.2,0.0,0.0,12.1,27.0,88
TUN,2016-02-08,19,13.9,0.0,0.0,16.1,29.9,8
TUN,2016-02-10,14,16.7,0.2,0.0,27.2,50.8,90
TUN,2016-02-10,15,16.3,0.2,0.0,27.1,47.2,100
TUN,2016-02-14,12,19.6,0.0,0.0,10.1,28.1,86
TUN,2016-02-14,14,20.1,0.0,0.0,3.3,34.9,92
TUN,2016-02-19,14,16.6,0.0,0.0,2.7,13.0,0
TUN,2016-02-24,11,16.2,0.0,0.0,30.6,55.8,43
TUN,2016-02-24,16,17.1,0.0,0.0,18.9,41.8,0
TUN,2016-02-28,12,13.9,0.2,0.0,15.2,32.8,50
TUN,2016-03-05,7,11.5,0.0,0.0,23.2,42.1,98
TUN,2016-03-05,13,20.2,0.0,0.0,10.0,30.2,37
TUN,2016-03-24,12,15.1,0.2,0.0,27.8,50.0,39
TUN,2016-03-29,6,12.8,0.0,0.0,5.9,12.2,96
TUN,2016-03-29,7,12.9,0.0,0.0,6.7,11.9,82
TUN,2016-04-26,15,20.2,0.0,0.0,12.4,25.6,0
TUN,2016-05-30,1,18.8,0.0,0.0,16.3,30.2,4
TUN,2016-05-31,7,18.6,0.0,0.0,4.5,9.0,44
TUN,2016-05-31,8,20.2,0.0,0.0,3.6,12.2,41
TUN,2016-06-01,9,19.4,0.0,0.0,5.5,17.6,100
TUN,2016-06-03,13,27.6,0.0,0.0,7.4,24.1,91
TUN,2016-06-04,14,22.8,0.0,0.0,8.9,26.3,64
TUN,2016-06-05,14,24.4,0.0,0.0,11.8,29.5,77
TUN,2016-06-05,18,23.8,0.0,0.0,8.0,26.3,16
TUN,2016-06-12,12,28.6,0.0,0.0,18.5,32.8,11
TUN,2016-06-12,13,28.9,0.0,0.0,22.3,38.5,92
TUN,2016-06-15,7,22.5,0.0,0.0,4.6,12.2,0
TUN,2016-06-15,8,24.0,0.0,0.0,5.8,14.4,0
TUN,2016-06-18,20,21.6,0.0,0.0,16.2,28.4,90
TUN,2016-06-19,12,23.4,0.0,0.0,25.2,47.9,24
TUN,2016-06-19,14,24.0,0.0,0.0,27.8,52.6,21
TUN,2016-06-20,14,23.8,0.0,0.0,19.0,38.9,41
TUN,2016-06-21,6,18.7,0.0,0.0,11.9,19.1,24
TUN,2016-06-21,13,23.9,0.0,0.0,14.5,33.5,20
TUN,2016-06-27,14,30.1,0.0,0.0,15.2,35.3,38
TUN,2016-07-03,14,31.1,0.0,0.0,18.0,39.6,0
TUN,2016-07-03,16,30.6,0.0,0.0,18.8,40.3,0
TUN,2016-07-08,8,23.8,0.0,0.0,2.9,11.5,5
TUN,2016-07-08,9,25.4,0.0,0.0,4.0,14.0,1
TUN,2016-07-15,6,21.4,0.0,0.0,21.8,37.4,5
TUN,2016-07-15,7,22.2,0.0,0.0,23.0,39.2,20
TUN,2016-07-23,6,25.4,0.0,0.0,9.4,25.2,2
TUN,2016-07-23,7,26.3,0.0,0.0,9.7,21.2,15
TUN,2016-07-23,8,28.3,0.0,0.0,11.9,22.3,15
TUN,2016-07-23,13,32.2,0.0,0.0,5.1,23.8,29
TUN,2016-07-25,14,29.6,0.0,0.0,20.9,43.2,5
TUN,2016-07-26,9,26.1,0.0,0.0,19.4,38.2,8
TUN,2016-07-26,13,29.5,0.0,0.0,17.3,36.4,0
TUN,2016-04-22,11,19.3,0.0,0.0,5.9,15.8,99
TUN,2016-04-22,12,20.1,0.0,0.0,6.6,17.3,100
TUN,2016-04-22,13,20.2,0.0,0.0,6.2,19.1,93
TUN,2016-04-22,18,18.6,0.0,0.0,8.6,20.2,54
TUN,2016-04-23,3,13.4,0.0,0.0,3.7,11.5,26
TUN,2016-04-23,4,13.3,0.0,0.0,2.9,7.9,79
TUN,2016-04-23,15,20.8,0.0,0.0,17.1,33.5,10
TUN,2016-04-23,20,17.3,0.0,0.0,10.3,20.9,0
TUN,2016-04-24,11,20.2,0.0,0.0,20.6,47.9,33
TUN,2016-04-24,16,19.9,0.0,0.0,22.6,47.2,14
